name,hlngr_mean,hlngr_median,hlngr_std_dev,ecldn_mean,ecldn_median,ecldn_std_dev
C20,0.2121607187666923,0.23169343512178936,0.0483231222028384,0.4023689270621826,0.3535533905932738,0.06903559372884924
C4,0.09186854546550952,0.09186854546550952,0.03727335005868059,0.7071067811865476,0.7071067811865476,0.0
C26,0.232085937259619,0.232085937259619,0.0,0.5773502691896257,0.5773502691896257,0.0
C21,0.17426660558351692,0.17988659012641303,0.05256803363668408,,,
C24,,,,,,
C17,0.07428008874640447,0.08197777480388593,0.015263767617443039,0.4905924867298472,0.447213595499958,0.061347016298016685
C25,,,,,,
C9,0.14624353519090755,0.1480256462182412,0.00252028558450992,0.7071067811865476,0.7071067811865476,0.0
n0147,,,,,,
C15,0.17328110401055835,0.17328110401055835,0.05327510271682627,0.3640529707392538,0.3640529707392538,0.21329729845037196
C8,0.2639581573950673,0.26518406317352244,0.0036985795814917146,0.1493206794221298,0.14586499149789453,0.025856317438678514
trial1,,,,,,
C7,0.12026401887408643,0.17528900881001133,0.08514167536130496,0.23240453183331933,0.25,0.18299763272604286
n0147DFS,0.14134048835705157,0.1351372940498332,0.02560361225446707,0.09692974958186673,0.09407208683835971,0.024316333434819763
C18,0.16026411339250896,0.16026411339250896,0.024994271277788527,0.7071067811865476,0.7071067811865476,0.0
C23,0.12552154385466888,0.08527466858124656,0.10183286033013046,0.3093633751803866,0.15811388300841897,0.28392221673136625
trial2,0.15160162297657165,0.13807118745769836,0.02518198438208066,0.2766364368050663,0.31622776601683794,0.08378120540315186
C2,0.00638762338069451,0.00638762338069451,0.0033074664525672036,0.7071067811865476,0.7071067811865476,0.0
n0147OS,0.15178848951904753,0.14971765250791153,0.011419063932337114,,,
C14,0.1217347702391794,0.1217347702391794,0.1217347702391794,0.07624928516630235,0.07624928516630235,0.07624928516630235
C13,0.2173282689307001,0.18344881398651922,0.06440908268389854,0.3219296217890031,0.316227766016838,0.008063641763691249
C6,0.21043800890498696,0.1979400010582234,0.036419201154387536,,,
C22,0.21481037966282437,0.21208950232869286,0.00525699125456989,,,
C10,0.13644993526020677,0.13535625377109917,0.0033183314544611426,0.7071067811865476,0.7071067811865476,0.0
C1,0.13966134632117308,0.13966134632117308,0.1126453750004506,0.13273915922626406,0.13273915922626406,0.11726084077373594
dad,0.0,0.0,0.0,0.0,0.0,0.0
C19,0.16766740985123776,0.1923704586500456,0.12801225133726954,,,
C5,0.09050919793156993,0.09050919793156993,0.007931476469364748,0.49279927982674443,0.49279927982674443,0.08455098936288144
C27,0.1350898197863797,0.153766642886547,0.10352144532816311,0.24515471739934827,0.158113883008419,0.24360543709303814
C16,0.07740470744260934,0.05020479294463664,0.06644054064908131,0.5690355937288492,0.5,0.09763107293781753
C12,0.14519375107295177,0.10042941290572244,0.07902563080264483,0.5773502691896258,0.5773502691896258,6.409875621278546e-17
C3,0.014972556402724432,0.014972556402724432,0.013887741573284481,0.7071067811865476,0.7071067811865476,0.0
trial4,0.2490033328207132,0.26140285874663377,0.017535577731433608,0.2486045044549614,0.25819888974716115,0.013568509802861898
C11,0.01731465415115563,0.020057066113831245,0.008792241982469652,0.7071067811865476,0.7071067811865476,0.0
C28,0.2113547744181317,0.21917939938957912,0.03203358098156359,0.2042773435553761,0.15249857033260464,0.09184816828610942
